nome,Depressao_Ponto_Orvalho,DSC_Soares,Probabilidade_Fogo,Classe_Risco,Cor_Risco,Data_Atualizacao,Umidade_13h,DSC,Depressao_Psicrometrica
Nova Olinda,25.6,45.0,12.0,6. Critico,#82001F,12/09/2026,,,
São José de Caiana,21.1,38.0,5.1,5. Muito Alto,#DE1010,12/09/2026,,,
São João do Tigre,21.5,38.0,5.5,5. Muito Alto,#DE1010,12/09/2026,,,
Caiçara,11.2,12.16,0.7,2. Baixo,#C0C276,12/09/2026,,,
Amparo,20.9,32.34,4.8,5. Muito Alto,#DE1010,12/09/2026,,,
Frei Martinho,16.0,35.6,1.8,2. Baixo,#C0C276,11/09/2026,,,
Logradouro,10.1,13.71,0.5,2. Baixo,#C0C276,12/09/2026,,,
Prata,20.6,34.16,4.6,4. Alto (Alerta),#DE5C0B,11/09/2026,,,
Teixeira,20.5,45.0,4.6,4. Alto (Alerta),#DE5C0B,11/09/2026,,,
Cubati,16.0,23.44,1.8,2. Baixo,#C0C276,12/09/2026,,,
Mogeiro,11.8,10.98,0.7,2. Baixo,#C0C276,12/09/2026,,,
Nova Palmeira,16.8,26.14,2.1,3. Moderado,#E8A523,12/09/2026,,,
Serra da Raiz,10.0,12.3,0.5,2. Baixo,#C0C276,12/09/2026,,,
Olho d'Água,26.1,38.0,13.0,6. Critico,#82001F,12/09/2026,,,
Bom Sucesso,22.1,34.51,6.1,5. Muito Alto,#DE1010,09/09/2026,,,
São José da Lagoa Tapada,23.9,31.4,8.6,6. Critico,#82001F,11/09/2026,,,
São Bento,23.0,45.0,7.4,5. Muito Alto,#DE1010,12/09/2026,,,
São Francisco,22.7,45.0,7.0,5. Muito Alto,#DE1010,12/09/2026,,,
Lagoa,23.2,30.88,7.5,5. Muito Alto,#DE1010,12/09/2026,,,
Vieirópolis,22.6,45.0,6.9,5. Muito Alto,#DE1010,12/09/2026,,,
Catingueira,23.7,32.0,8.3,6. Critico,#82001F,12/09/2026,,,
Tavares,24.0,45.0,8.9,6. Critico,#82001F,12/09/2026,,,
Belém,10.0,12.3,0.5,2. Baixo,#C0C276,12/09/2026,,,
Pocinhos,13.4,8.02,1.0,2. Baixo,#C0C276,12/09/2026,,,
Cuité de Mamanguape,10.8,10.11,0.6,2. Baixo,#C0C276,12/09/2026,,,
Rio Tinto,9.1,6.35,0.4,2. Baixo,#C0C276,11/09/2026,,,
Serra Grande,20.7,38.0,4.7,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
